station,PM25,PM10,SO2,NO2,O3,CO,Temp,RH,Wind,exceedance
STN-3,26.120802023049823,15.598688882567416,3.5238812311104004,3.2626545978095183,9.181995907500752,0.7013305125892904,11.727418064612333,79.62414660090505,4.543007802378667,0
STN-3,17.397964063889184,37.55893308400476,1.1036227987256049,8.506228557170429,7.3370884128706955,0.5351806814047143,20.616085436743397,82.64710838048589,5.66194865222454,0
STN-3,25.15086884006012,24.614492712435414,3.8935170744323058,3.5761409987668036,10.496021294739032,0.2071283695144606,23.454540915998134,65.74497273116506,4.459642230504724,0
STN-2,20.192472986619247,27.655877478799212,2.5265572723298395,4.517063210901083,3.3219155301502763,1.2769242066645508,22.203598897539475,77.323126195762,3.870132104404126,0
STN-2,25.004501678332733,30.516021728962183,2.923868009233761,5.774566843559863,4.958554017531736,0.2828239848049246,15.244762026431054,79.30531299265809,6.3838276279861494,0
STN-2,32.952390925648956,34.05998481830534,1.3978266714918695,3.7624923907507037,8.291514991706201,1.6968961794512394,22.239963962090066,50.648433827871216,0.02795265744986608,0
STN-1,33.630449634478595,34.76422791888588,2.8056461460037525,2.8191048647911026,4.365708932562531,1.3887836008101175,21.798529404156824,81.74202264174656,7.050360567871391,0
STN-3,17.499818104779138,35.01073956834076,2.452700764354743,3.684705961856276,5.340553607721976,3.294918040017653,25.923888636971977,63.34807986032748,2.853875552782151,0
STN-2,25.882817772263394,22.875966657706172,3.600751768658699,4.883879688264057,6.373218940261833,0.3306653656273857,13.75861947343928,71.20360982705172,3.002927794791174,0
STN-3,28.996855199727815,46.52663252044568,5.748464187049342,3.9668201142813015,8.730151835525367,0.12354360190332536,27.824507731565795,34.23005222982334,4.926441353283113,0
STN-3,11.686153560221893,27.759890613689496,3.8882758148687313,3.294889626609705,6.262269319645899,0.8121280034307801,19.365856687929135,57.02804327742555,2.79618600790469,0
STN-3,24.157014294465995,29.238364470444974,1.586717468109939,3.413472993710605,3.118048089688085,1.7313350945188204,21.279273064702807,61.768668916001175,7.576992599235824,0
STN-2,14.43086080395916,31.0096985201206,3.7399733064090364,3.4565508376933622,7.554032756766998,0.4452202612570034,20.555935118647636,33.832966937702,1.8606603391139132,0
STN-3,20.4413369807145,32.97679048232772,6.8153622302397325,2.3245402194470794,4.598688040131988,1.4016624231966721,21.84092994509063,73.81179954628632,1.3007785930478937,0
STN-1,6.525414609264857,18.84964966897405,1.4379375796584637,4.309299085791868,3.4007377798858496,0.6536667510992176,26.481319421812206,70.74178572704365,2.4694873595235274,0
STN-1,32.044175772657695,25.746805298332067,1.0886146029977144,4.4668511151992325,7.515677120082086,0.3224352383413235,21.9214488321738,43.019580830938466,1.166073527299048,0
STN-2,21.72996612944389,20.475323463223546,3.5395362009328406,2.0592276009545665,5.239971115750881,0.6255590248878481,22.654940625674627,27.293361850675186,7.064095949621047,0
STN-2,26.511280001335432,19.31754079580791,2.46995010127375,3.0165372722001473,2.6812895976751268,0.3163530795756121,18.631213943612845,72.08144329286276,1.137763397141116,0
STN-1,18.562262344689266,29.645838180929022,5.412256189016961,5.097135889664756,8.290047616837276,0.5304255581234708,22.11646886829323,74.87220777261962,6.466420968398577,0
STN-2,20.231281858207623,30.665033343545904,2.536536840942256,8.69319859929217,3.5641155169010563,0.49823155191345864,21.136779264312285,43.75034483622455,4.0100608342153174,0
